time,ops
0.015845298767089844,66052
0.014877796173095703,65876
0.017486572265625,65775
0.020252704620361328,65780
0.01984429359436035,65833
0.011528491973876953,65763
0.019543886184692383,65687
0.01636338233947754,65996
0.009927749633789062,65886
0.01501154899597168,65955
0.0205538272857666,65876
0.02025437355041504,65978
0.020215272903442383,66193
0.016634464263916016,65988
0.02002120018005371,65807
0.0161135196685791,65838
0.009811878204345703,65922
0.016117572784423828,65834
0.010219097137451172,65759
0.02305769920349121,65767
0.010119915008544922,65811
0.014757633209228516,65813
0.01952528953552246,65873
0.024246931076049805,65734
0.02041029930114746,65993
0.025222063064575195,65848
0.020159244537353516,65948
0.024109601974487305,65973
0.009668827056884766,65857
0.020894765853881836,65812
0.018439769744873047,65724
0.021338462829589844,66038
0.01697993278503418,65917
0.01883721351623535,65904
0.015135526657104492,65875
0.015418052673339844,66064
0.01982879638671875,65953
0.016020536422729492,65806
0.02011251449584961,65844
0.015726089477539062,65920
0.0200960636138916,65828
0.014748096466064453,65824
0.020200252532958984,65947
0.019051551818847656,65952
0.01023101806640625,65838
0.020357847213745117,65764
0.01736927032470703,65907
0.01984858512878418,65672
0.025119781494140625,65937
0.019816160202026367,65836
0.022891998291015625,65878
0.009664535522460938,65831
0.021117210388183594,65789
0.016857147216796875,65842
0.018566608428955078,65777
0.020008087158203125,65870
0.019823789596557617,65779
0.018003225326538086,65694
0.019399404525756836,65703
0.019685029983520508,65851
0.01842331886291504,65903
0.01764678955078125,65770
0.019669771194458008,65834
0.019787073135375977,65869
0.02014446258544922,66080
0.019629716873168945,66000
0.014930486679077148,65926
0.01891803741455078,65862
0.019582509994506836,65894
0.016133546829223633,65723
0.0202481746673584,65911
0.018076419830322266,65924
0.019647836685180664,65981
0.020246267318725586,65955
0.020099401473999023,65871
0.02021050453186035,66075
0.019843578338623047,65919
0.014943838119506836,65683
0.02008819580078125,66013
0.014658451080322266,65970
0.011516094207763672,65916
0.0229034423828125,65645
0.010262012481689453,65877
0.021498680114746094,65872
0.01863574981689453,65859
0.02009415626525879,65932
0.018188953399658203,65911
0.016867876052856445,65782
0.019860029220581055,65957
0.0156097412109375,65767
0.01987767219543457,65847
0.015809297561645508,65742
0.02013683319091797,65871
0.016366004943847656,65730
