size,worst time,avg time,best time,worst ops,avg ops,best ops
560000,0.796288013458252,0.7869780540466309,0.7829530239105225,4651633,4650570.1,4649340
570000,0.803746223449707,0.8001375436782837,0.7961530685424805,4740054,4738394.6,4737573
580000,0.8257601261138916,0.8163989067077637,0.809899091720581,4828589,4827140.9,4825974
590000,0.841616153717041,0.8313350677490234,0.827437162399292,4916254,4915225.1,4914519
600000,0.860145092010498,0.8483404159545899,0.8428440093994141,5005737,5004594,5003748
610000,0.873528003692627,0.8636617660522461,0.8576052188873291,5093734,5092963.1,5091970
620000,0.8797709941864014,0.8760315418243408,0.8723530769348145,5182249,5181241.1,5180262
630000,0.9103331565856934,0.8944895982742309,0.887279748916626,5271399,5270585,5269645
640000,0.929095983505249,0.9103686809539795,0.9041562080383301,5360875,5359566.3,5358743
650000,0.9409589767456055,0.926199197769165,0.9181430339813232,5450152,5448454,5447330
660000,0.9467189311981201,0.9392960071563721,0.9315357208251953,5538390,5537468.7,5536657
670000,0.9599761962890625,0.953235125541687,0.9485111236572266,5627787,5625975.4,5624786
680000,0.9750809669494629,0.967941689491272,0.9618041515350342,5717451,5715783.9,5714549
690000,0.9869287014007568,0.9831982135772706,0.9808540344238281,5805351,5804470.1,5802740
700000,1.0255579948425293,1.0017860651016235,0.9928460121154785,5896077,5893781.7,5891650
710000,1.0247070789337158,1.0153691053390503,1.007370948791504,5984007,5983008.4,5982027
720000,1.0376498699188232,1.0311590909957886,1.0255239009857178,6074286,6072470,6070648
730000,1.084773063659668,1.0510063886642456,1.043215274810791,6162727,6161776,6161046
740000,1.070706844329834,1.0624287605285645,1.0574471950531006,6252553,6251333.4,6250055
750000,1.1034510135650635,1.0793350219726563,1.0711569786071777,6341645,6340470.8,6339480
760000,1.1020898818969727,1.0942607402801514,1.0874741077423096,6430978,6429932.1,6429055
770000,1.1281652450561523,1.1108712434768677,1.1016209125518799,6520572,6519594.4,6518551
780000,1.1298840045928955,1.1232536792755128,1.118243932723999,6610043,6608687.7,6607510
790000,1.1526119709014893,1.140831995010376,1.1339478492736816,6698957,6698034.4,6696684
800000,1.1701979637145996,1.1547945261001586,1.1486759185791016,6789717,6788527.7,6787836
810000,1.186249017715454,1.173547101020813,1.1681852340698242,6879633,6877990.6,6876207
820000,1.1929941177368164,1.1862868547439576,1.182668924331665,6969255,6967560.4,6966066
830000,1.2094290256500244,1.2014945983886718,1.1983208656311035,7058389,7057435,7056078
840000,1.2341408729553223,1.2201035022735596,1.213036060333252,7149321,7146756,7145021
850000,1.236478328704834,1.230955219268799,1.225865125656128,7239373,7236812.6,7235880
860000,1.2736501693725586,1.2516343355178834,1.2405309677124023,7328377,7326585.3,7324886
870000,1.2700169086456299,1.2637376546859742,1.256394386291504,7418272,7416640.4,7415769
880000,1.2952640056610107,1.281475019454956,1.2729618549346924,7507479,7505908.4,7504750
890000,1.3055429458618164,1.2958826780319215,1.2861990928649902,7597200,7596325.3,7594745
900000,1.3178648948669434,1.3100545406341553,1.300983190536499,7687882,7685988.1,7684791
910000,1.3351128101348877,1.3258678674697877,1.3212878704071045,7776943,7775972.7,7774856
920000,1.3475630283355713,1.339821171760559,1.330679178237915,7867319,7865773.5,7864314
930000,1.3717560768127441,1.3588966846466064,1.347269058227539,7955850,7954852,7954098
940000,1.3780946731567383,1.3730831146240234,1.367353916168213,8047982,8045928.2,8044401
950000,1.4128398895263672,1.3915346145629883,1.3827152252197266,8137150,8135545.8,8133966
960000,1.4376499652862549,1.407174563407898,1.399491786956787,8227960,8226336,8224836
970000,1.4309401512145996,1.4181095123291017,1.4139790534973145,8316903,8315389.3,8314484
980000,1.449648141860962,1.4363545656204224,1.4260790348052979,8407641,8406171.4,8403380
990000,1.468641996383667,1.4507009267807007,1.4411242008209229,8497415,8495496.6,8493866
1000000,1.4748148918151855,1.4639536142349243,1.4545068740844727,8587507,8586332.4,8585194
